Precio|Área (m²)|Ubicación|Habitaciones|Baños|Nombre de la agencia|Título de la propiedad|Instalaciones
135000|100|Distrito Metropolitano de Quito|3|2|GS CONSTRUCCIONES Y BIENES RAÍCES|Vendo Acogedor Departamento 3 Dormitorios - Bellavista Baja|N/A
280000|341|Distrito Metropolitano de Quito|3|5|GS CONSTRUCCIONES Y BIENES RAÍCES|Vendo Moderno Ph 3 Dormitorios Con Terraza Cubierta - Bellavista Baja|Estacionamiento, Cocina equipada, Cocina integral, Armario empotrado, Gas natural, Chimenea, Agua, Electricidad, Completamente amoblado, Terraza, Gimnasio, Área para niños, Ascensor, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
110000|183|Distrito Metropolitano de Quito|3|4|Johanna Chalen - Remax Impacta|Departamento En Venta Ponceano Alto. Zona Residencial Y Tranquila|Estacionamiento, Cocina equipada, Cocina integral, Cuarto de servicio, Armario empotrado, Gas natural, Agua, Electricidad, Terraza, Gimnasio, Ascensor, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
96900|105|Distrito Metropolitano de Quito|2|2|Emerson Medina - Inmoimpakto|Vendo🏬departamento Seminuevo Con Patio, 2 Habitaciones En Ponceano Alto|Estacionamiento, Alarma, Armario empotrado, Chimenea, Agua, Sin amoblar, Jardín, Conserje
95000|140|Distrito Metropolitano de Quito|3|3|Cbr. Ximena Loma - Bienes Raíces LM|Departamento 3 Habitaciones - Norte De Quito - Eloy Alfaro - Solca|Patio, Sin amoblar
95000|140|Distrito Metropolitano de Quito|3|3|Cbr. Ximena Loma - Bienes Raíces LM|Departamento Norte De Quito - Sector Solca - De Los Alamos - Cerca De Embajada Americana|Estacionamiento, Internet, Cocina equipada, Cocina integral, Armario empotrado, Gas natural, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Ascensor, Conserje, Garita de guardianía, Acceso para personas con discapacidad
50000|74|Distrito Metropolitano de Quito|3|1|Diego Germán Unda - Remax Impacta|Vendo Departamento Al Norte De Quito|Estacionamiento, Cocina equipada, Cocina integral, Armario empotrado, Agua, Electricidad, Sin amoblar, Seguridad, Ascensor, Conserje, Garita de guardianía
136000|93|Distrito Metropolitano de Quito|3|2|Fernando Falconi|Vendo Departamento 3 Habitaciones|Estacionamiento, Patio, Armario empotrado, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Área para niños, Conserje, Garita de guardianía
136000|93|Distrito Metropolitano de Quito|3|2|Fernando Falconi|Vendo Departamento 3 Habitaciones|Estacionamiento, Cocina equipada, Cocina integral, Vista panorámica, Alarma, Armario empotrado, Gas natural, Agua, Electricidad, Seguridad, Ascensor, Conserje, Garita de guardianía, Acceso para personas con discapacidad
150000|308|Distrito Metropolitano de Quito|3|3|Carolina Silva|Venta De Departamento Moderno|Estacionamiento, Cocina equipada, Cocina integral, Vista panorámica, Alarma, Armario empotrado, Gas natural, Agua, Electricidad, Seguridad, Ascensor, Conserje, Garita de guardianía, Acceso para personas con discapacidad
157899|87|Distrito Metropolitano de Quito|2|2|Andres Altamirano|Departamento De Venta, Sector La Carolina, 2 Dormitorios, Por Estrenar, Vista, Increibles Amenidades|Estacionamiento, Internet, Balcón, Cocina equipada, Cocina integral, Vista panorámica, Patio, Cuarto de servicio, Alarma, Armario empotrado, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Área para niños, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
246286|137|Distrito Metropolitano de Quito|3|3|Andres Altamirano|Departamento En Venta, 3 Dormitorios, Sector La Carolina, Por Estrenar, Vista|Estacionamiento, Balcón, Cocina integral, Jacuzzi, Sin amoblar, Terraza, Seguridad, Gimnasio, Área para niños, Ascensor, Sauna, Parrilla, Garita de guardianía
150000|128|Distrito Metropolitano de Quito|2|2|Carolina Silva|Venta Departamento Monteserrin|Estacionamiento, Balcón, Jacuzzi, Sin amoblar, Terraza, Seguridad, Gimnasio, Área para niños, Ascensor
450000|200|Distrito Metropolitano de Quito|3|4|Carolina Silva|Vendo Departamento Edificio Aquarela|Estacionamiento, Internet, Balcón, Cocina equipada, Cocina integral, Vista panorámica, Alarma, Armario empotrado, Gas natural, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Gimnasio, Área para niños, Ascensor, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
112000|105|Distrito Metropolitano de Quito|3|2|Ing. Roberto Alarcón|Departamento De Venta En Tumbaco|Estacionamiento, Internet, Aire acondicionado, Balcón, Cocina equipada, Calefacción, Cocina integral, Jacuzzi, Vista panorámica, Patio, Cuarto de servicio, Alarma, Armario empotrado, Gas natural, Chimenea, Agua, Electricidad, Terraza, Seguridad, Gimnasio, Piscina, Área para niños, Ascensor, Sauna, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad, Cancha de tenis
380000|350|Distrito Metropolitano de Quito|3|4|MIRAI|Excelente Departamento En Venta Centro Norte De Quito Calle Jimenez De La Espada|Estacionamiento, Cocina equipada, Cocina integral, Patio, Alarma, Armario empotrado, Agua, Electricidad, Sin amoblar, Piscina, Área para niños, Jardín, Conserje, Garita de guardianía
80000|130|Distrito Metropolitano de Quito|2|2|MIRAI|Excelente Departamento En Venta Centrro Norte De Quito Eloy Alfaro Y Gaspar De Villaruel|Estacionamiento, Internet, Cocina equipada, Cocina integral, Jacuzzi, Patio, Cuarto de servicio, Alarma, Gas natural, Chimenea, Agua, Electricidad, Sin amoblar, Seguridad, Ascensor, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
175000|134|Metropolitan District of Quito|3|2|MIRAI|Excelente Departamento En Venta Centro Norte De Quito Granda Centeno|Estacionamiento, Cocina equipada, Vista panorámica, Patio, Armario empotrado, Agua, Electricidad, Parcialmente amoblado, Terraza, Ascensor, Conserje, Garita de guardianía, Acceso para personas con discapacidad
70000|123|Distrito Metropolitano de Quito|3|2|AB&amp;MD Gestión Inmobiliaria By KSA|Vendo Departamento Sector Ponceano Alto, Quito Ecuador|Estacionamiento, Balcón, Cocina equipada, Cocina integral, Vista panorámica, Alarma, Armario empotrado, Electricidad, Sin amoblar, Terraza, Piscina, Ascensor, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
210000|209|Metropolitan District of Quito|7|6|Horizonte Azul|Departamento Dúplex En Venta - Sector Agua Clara, Quito|Estacionamiento, Vista panorámica, Sin amoblar, Terraza
48000|55|Distrito Metropolitano de Quito|3|1|GS CONSTRUCCIONES Y BIENES RAÍCES|Departamento De 3 Dormitorios En Venta - Sector Ponceano|Estacionamiento, Balcón, Jacuzzi, Patio, Armario empotrado, Agua, Electricidad, Completamente amoblado, Terraza, Sauna, Conserje, Parrilla
118000|133|Distrito Metropolitano de Quito|3|3|GS CONSTRUCCIONES Y BIENES RAÍCES|Departamento De 3 Dormitorios En Venta En La Jipijapa|Estacionamiento, Agua, Electricidad, Sin amoblar, Jardín, Conserje
115000|102|Distrito Metropolitano de Quito|3|1|Horizonte Azul|Venta De Departamento, Sector Av. De La Prensa|Estacionamiento, Patio, Electricidad, Conserje
640000|650|Quito|5|6|MIRAI|Excelente Penthouse Duplex En Venta Centro Norte Quito Tenis|Estacionamiento, Patio, Agua, Electricidad, Terraza, Conserje
110000|220|Distrito Metropolitano de Quito|3|3|Horizonte Azul|Venta De Departamento - Sector El Inca, Quito|Estacionamiento, Balcón, Cocina equipada, Cocina integral, Jacuzzi, Vista panorámica, Patio, Cuarto de servicio, Alarma, Armario empotrado, Chimenea, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Sauna, Jardín, Conserje, Parrilla, Garita de guardianía
95000|91|Distrito Metropolitano de Quito|2|1|Horizonte Azul|Venta De Departamento, Sector Av. De La Prensa|Estacionamiento, Patio, Agua, Terraza, Área para niños, Ascensor, Conserje, Parrilla, Garita de guardianía
210000|198|Quito|3|4|MIRAI|Departamento En Venta Centro Norte De Quito Calle Bosmediano Y Carlos Guerrero|Estacionamiento, Patio, Agua, Electricidad, Conserje
156000|110|Distrito Metropolitano de Quito|2|3|Emma Barragán|Venta Departamento 2 Dormitorios, Cumbayá|Estacionamiento, Balcón, Cocina equipada, Cocina integral, Alarma, Armario empotrado, Chimenea, Agua, Electricidad, Sin amoblar, Terraza, Ascensor, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
90000|70|Distrito Metropolitano de Quito|2|2|Emma Barragán|Vendo Departamento 2 Dormitorios Sector Bosmediano Y González Suáres|Estacionamiento, Balcón, Cocina equipada, Cocina integral, Jacuzzi, Vista panorámica, Armario empotrado, Gas natural, Agua, Electricidad, Sin amoblar, Seguridad, Piscina, Área para niños, Ascensor, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
118000|120|Distrito Metropolitano de Quito|3|2|Inmoejecutivos|Vendo Departamento Remodelado Av Gaspar De Villarroel Y Eloy Alfaro.|Estacionamiento, Internet, Cocina equipada, Cocina integral, Jacuzzi, Vista panorámica, Gas natural, Electricidad, Sin amoblar, Terraza, Gimnasio, Ascensor, Sauna, Conserje, Garita de guardianía
