Precio|Ubicación|Área|Habitaciones|Baños|Agencia|Fecha Publicación
110000|Ponceano, Norte De Quito, Quito, Pichincha|183|3|4|Johanna Chalen - Remax Impacta|Publicado hace 4 días, 6 horas
96900|Tumbaco, Valle Tumbaco, Quito, Pichincha|105|2|2|Emerson Medina - Inmoimpakto|Publicado 08/08/2024
50000|Cotocollao, Norte De Quito, Quito, Pichincha|74|3|1|Diego Germán Unda - Remax Impacta|Publicado hace 5 días
95000|Kennedy, Centro Norte, Quito, Pichincha|140|3|3|Cbr. Ximena Loma - Bienes Raíces LM|Publicado 23/07/2024
95000|Kennedy, Centro Norte, Quito, Pichincha|140|3|3|Cbr. Ximena Loma - Bienes Raíces LM|Publicado 16/04/2024
136000|Centro Norte, Quito, Pichincha|93|3|2|Fernando Falconi|Publicado 04/07/2024
136000|Centro Norte, Quito, Pichincha|93|3|2|Fernando Falconi|Publicado 04/07/2024
150000|Carcelen, Norte De Quito, Quito, Pichincha|308|3|3|Carolina Silva|Publicado hace 2 semanas, 22 horas
157899|La Carolina, Iñaquito, Centro Norte, Quito, Pichincha|87|2|2|Andres Altamirano|Publicado 07/07/2023
246286|La Carolina, Iñaquito, Centro Norte, Quito, Pichincha|137|3|3|Andres Altamirano|Publicado 15/03/2024
150000|Monteserrin, Jipijapa, Centro Norte, Quito, Pichincha|128|2|2|Carolina Silva|Publicado hace 2 semanas, 5 días
450000|Centro Norte, Quito, Pichincha|200|3|4|Carolina Silva|Publicado hace 1 semana, 6 días
112000|Tumbaco, Valle Tumbaco, Quito, Pichincha|105|3|2|Ing. Roberto Alarcón|Publicado 11/03/2024
380000|Centro Norte, Quito, Pichincha|350|3|4|MIRAI|Publicado 02/07/2024
80000|El Batan, Iñaquito, Centro Norte, Quito, Pichincha|130|2|2|MIRAI|Publicado 13/08/2024
175000|Granda Centeno, Rumipamba, Centro Norte, Quito, Pichincha|134|3|2|MIRAI|Publicado 13/08/2024
640000|Quito Tenis, Centro Norte, Quito, Pichincha|650|5|6|MIRAI|Publicado 28/09/2022
210000|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|198|3|4|MIRAI|Publicado 02/07/2024
48000|Ponceano, Norte De Quito, Quito, Pichincha|55|3|1|GS CONSTRUCCIONES Y BIENES RAÍCES|Publicado 08/08/2024
118000|Jipijapa, Centro Norte, Quito, Pichincha|133|3|3|GS CONSTRUCCIONES Y BIENES RAÍCES|Publicado 18/06/2024
210000|Ponceano, Norte De Quito, Quito, Pichincha|209|7|6|Horizonte Azul|Publicado hace 2 semanas, 1 día
115000|Ponceano, Norte De Quito, Quito, Pichincha|102|3|1|Horizonte Azul|Publicado 08/05/2024
110000|San Isidro del Inca, Centro Norte, Quito, Pichincha|220|3|3|Horizonte Azul|Publicado hace 2 semanas, 1 día
95000|Ponceano, Norte De Quito, Quito, Pichincha|91|2|1|Horizonte Azul|Publicado 08/05/2024
195000|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|156|3|4|GS CONSTRUCCIONES Y BIENES RAÍCES|Publicado 27/05/2024
220920|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|105|2|3|GS CONSTRUCCIONES Y BIENES RAÍCES|Publicado 20/03/2024
135000|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|100|3|2|GS CONSTRUCCIONES Y BIENES RAÍCES|Publicado hace 2 semanas, 1 día
280000|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|341|3|5|GS CONSTRUCCIONES Y BIENES RAÍCES|Publicado hace 3 semanas, 6 horas
150000|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|98|2|2|GS CONSTRUCCIONES Y BIENES RAÍCES|Publicado 26/03/2024
124000|Ponceano, Norte De Quito, Quito, Pichincha|144|3|3|GS CONSTRUCCIONES Y BIENES RAÍCES|Publicado 13/06/2024
